species,gear_type,year,ocean,value
YFT,BB,1975,ATL,6178.96
ALB,LL,1980,ATL,29455.05
YFT,PS,1989,PAC_E,261203.84
BUM,LL,2000,IND,4701.43
SFA,LL,1981,PAC_E,377.67
YFT,LL,1977,PAC_E,11659.24
ALB,PS,1992,ATL,122.19
SKJ,OTHER_I,1997,IND,846.46
BIL,LL,2005,IND,6.74
BET,LL,1970,PAC_W,34609.98
MLS,LL,1966,ATL,3001.91
BUM,LL,1955,IND,3542.88
BET,LL,1962,PAC_E,42346.99
SBF,GILL,1991,IND,6.99
SFA,LL,1963,PAC_W,3238.86
BET,BB,1975,ATL,9069.94
MLS,LL,1994,PAC_E,3026.89
SKJ,BB,1970,ATL,11814.47
BET,PS,1989,PAC_E,1319.72
YFT,BB,1999,IND,12555.85
YFT,LL,1968,IND,70966.04
MLS,LL,1964,PAC_W,17082.89
YFT,LL,1974,ATL,23074.70
SKJ,PS,1997,ATL,53941.46
YFT,LL,1993,PAC_E,22560.02
BUM,LL,1980,PAC_W,10233.71
BET,PS,1972,PAC_W,672.14
YFT,LL,1991,IND,35146.64
SWO,LL,1987,ATL,24285.82
BET,LL,1996,PAC_E,44979.74
BLM,LL,1967,IND,212.67
BFT,OTHER_A,1987,ATL,104.87
YFT,LL,1962,PAC_E,9802.50
SBF,LL,1972,PAC_W,19834.26
BIL,LL,1999,PAC_E,1.00
YFT,LL,1970,PAC_W,55525.61
ALB,PS,1963,PAC_E,1217.60
SBF,LL,1989,PAC_E,1.10
SWO,GILL,1995,IND,873.97
BET,LL,1977,PAC_E,71256.40
SKJ,BB,1974,PAC_W,282614.78
SKJ,BB,1995,ATL,20576.47
BUM,LL,1966,PAC_E,1190.64
SBF,LL,1986,ATL,390.14
ALB,OTHER_A,1997,ATL,168.21
YFT,OTHER_I,1986,IND,1782.43
SKJ,PS,1981,IND,162.61
BFT,LL,1974,ATL,5294.01
BFT,LL,1993,PAC_E,2.00
SWO,LL,1979,PAC_E,2578.79
SWO,LL,1972,IND,1853.46
YFT,PS,1990,PAC_W,174332.69
YFT,LL,1995,PAC_W,81726.81
YFT,BB,1980,IND,4382.41
BET,BB,1982,PAC_E,41.99
ALB,LL,1975,IND,11485.31
YFT,LL,2001,IND,46599.19
YFT,OTHER_A,1987,ATL,1865.17
ALB,LL,1994,PAC_W,59562.80
BET,PS,1986,ATL,8478.63
BUM,LL,1984,PAC_E,2335.31
BET,BB,2000,PAC_W,2989.19
ALB,LL,1964,PAC_E,6428.67
BUM,LL,1999,PAC_W,14743.61
SBF,PS,2001,IND,5416.77
ALB,PS,1985,ATL,59.00
SKJ,BB,2002,PAC_E,616.04
SBF,LL,1990,PAC_W,3954.47
BLM,LL,2002,IND,548.41
BFT,PS,1989,PAC_E,1103.70
BFT,BB,1975,ATL,1280.93
SKJ,OTHER_A,1992,ATL,66.14
YFT,PS,1986,ATL,27480.48
SWO,LL,1965,ATL,2871.80
YFT,BB,2000,PAC_W,13748.83
BFT,LL,1977,PAC_E,8.28
ALB,BB,1991,ATL,3373.00
ALB,LL,1999,ATL,26136.29
BET,OTHER_A,1987,ATL,116.16
YFT,BB,1982,PAC_E,1492.28
BET,LL,2001,IND,62098.17
BUM,LL,1994,ATL,2278.55
BET,LL,1995,PAC_W,65557.37
BET,PS,1990,PAC_W,11558.48
SWO,LL,1984,IND,3164.31
BUM,LL,1989,PAC_W,8603.22
MLS,LL,1990,ATL,1304.92
BET,LL,1978,IND,49741.73
BUM,LL,1972,PAC_E,1003.18
YFT,PS,1982,IND,1032.15
BUM,LL,1998,ATL,2299.35
BUM,LL,1979,IND,3564.18
BET,PS,1980,PAC_E,18240.85
SFA,LL,1974,PAC_W,1105.22
BET,LL,1992,PAC_E,81071.64
SBF,LL,1952,IND,547.02
SKJ,PS,2002,IND,216296.18
BFT,PS,1964,ATL,4563.34
SWO,LL,1971,PAC_W,8610.64
YFT,BB,1988,ATL,10558.29
ALB,OTHER_I,1996,IND,0.29
SKJ,LL,1987,PAC_E,36.57
YFT,LL,1963,ATL,37692.97
SWO,LL,1966,IND,1700.70
BET,BB,1976,ATL,7764.77
BET,PS,1982,IND,8.00
ALB,LL,1989,ATL,21449.85
YFT,PS,1980,PAC_E,136861.92
SBF,LL,1961,IND,62740.18
MLS,LL,1986,PAC_W,5945.17
SWO,LL,2005,PAC_W,16895.94
YFT,LL,1978,IND,35483.79
SKJ,GILL,2002,IND,74067.18
ALB,LL,1998,PAC_W,79405.09
MLS,LL,1987,IND,6104.78
BFT,TRAP,2000,ATL,1456.56
SFA,LL,2004,PAC_E,6.46
YFT,BB,1976,ATL,9858.95
BFT,PS,1999,PAC_E,2552.30
BLM,LL,1959,PAC_W,1244.06
SWO,GILL,2003,IND,1362.60
BET,LL,1963,ATL,14728.77
SKJ,TROL,2003,ATL,15.51
BET,BB,1988,ATL,5130.14
SBF,LL,1982,IND,12074.14
ALB,OTHER_A,1973,ATL,95.98
ALB,OTHER_A,1983,ATL,422.00
SKJ,BB,1981,PAC_E,5317.03
YFT,LL,1992,PAC_E,17851.07
ALB,OTHER_I,1993,IND,14.49
BLM,LL,1981,IND,356.31
SBF,BB,1996,IND,4743.69
SWO,LL,1961,PAC_W,318.01
SKJ,LL,1965,PAC_E,241.95
BFT,PS,1980,PAC_E,2917.03
SBF,LL,2005,IND,7228.57
SFA,LL,2002,PAC_E,13.23
YFT,GILL,2005,IND,19531.04
SKJ,BB,2003,ATL,31096.57
ALB,LL,1988,IND,12352.61
SKJ,OTHER_A,1996,ATL,162.12
SKJ,GILL,2004,IND,69984.18
ALB,LL,1956,PAC_W,18302.43
YFT,LL,1985,PAC_E,12878.27
SWO,LL,2000,PAC_E,5989.40
MLS,LL,1998,PAC_E,3179.11
MLS,LL,1972,ATL,1154.55
YFT,PS,1999,PAC_E,270718.22
BFT,BB,1976,ATL,839.00
YFT,PS,1984,PAC_W,109467.76
BFT,LL,1992,PAC_E,11.01
BUM,LL,1990,PAC_E,2737.80
SWO,LL,1982,PAC_W,9193.16
BET,LL,1960,PAC_W,42971.51
YFT,LL,2003,PAC_W,77369.48
SKJ,OTHER_A,1977,ATL,6655.15
BET,PS,2005,IND,24945.25
ALB,LL,1986,PAC_E,6328.08
SKJ,PS,1973,ATL,32251.53
SKJ,PS,1983,ATL,67208.03
BET,BB,1979,PAC_W,2549.24
SBF,LL,1984,PAC_W,3735.80
BET,LL,1985,PAC_E,65084.23
SBF,LL,1999,PAC_E,5.04
SKJ,OTHER_I,1973,IND,451.00
SKJ,OTHER_I,1983,IND,198.38
SFA,LL,1954,PAC_W,549.29
SKJ,OTHER_A,1993,ATL,288.98
BET,GILL,2005,IND,54.11
BUM,LL,1956,ATL,39.01
BIL,LL,1989,PAC_E,3.99
ALB,LL,1976,IND,15117.17
BFT,BB,1988,ATL,29.11
MLS,LL,1965,IND,3164.78
YFT,PS,2005,IND,186376.59
